onset	duration	frequency	pulse_width	amplitude	out_channel
182.0	20.0	20.0	0.005	100.0	D
332.0	20.0	20.0	0.005	100.0	D
482.0	20.0	20.0	0.005	100.0	D
632.0	20.0	20.0	0.005	100.0	D
782.0	20.0	20.0	0.005	100.0	D
932.0	20.0	20.0	0.005	100.0	D
1082.0	20.0	20.0	0.005	100.0	D
1232.0	20.0	20.0	0.005	100.0	D
