,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.76,6,-3.2,4.6,False
1,0.82,4,-3.3,4.6,False
2,1.25,14,-3.5,4.0,True
3,-0.46,2,-3.5,4.3,False
4,1.31,8,-3.2,4.4,True
5,1.94,6,-3.3,4.4,True
6,2.28,5,-3.2,4.5,True
7,1.7,7,-3.3,4.5,True
8,2.04,12,-3.05,4.5,True
