,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.67,6,-3.2,4.6,False
1,1.39,4,-3.3,4.6,True
2,1.18,14,-3.5,4.0,True
3,-0.37,2,-3.5,4.3,False
4,1.36,8,-3.2,4.4,True
5,1.95,6,-3.3,4.4,True
6,2.33,5,-3.2,4.5,True
7,1.57,7,-3.3,4.5,True
8,2.02,12,-3.05,4.5,True
