,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.413407,1.3606664,3839:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-1.1706921,-0.91975176,3839:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
2,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.7439688,0.9698875,5682:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.8854556,2.021252,5682:ofMr2:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
4,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.6308196,2.9326544,5683:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.2570423,-0.40425462,5683:ofMr1:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
6,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.8964992,1.6756983,5685:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
7,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.70838696,-0.66607714,5685:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
8,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.2636364,2.4313369,5685:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
9,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.4702154,1.572115,6257:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
10,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.9555893,2.4516149,6259:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
11,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.6425339,1.636198,6259:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
12,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.055817306,0.004056029,6259:ofMr1:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
13,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.6764808,1.803758,6260:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
