,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.28,3,-3.2,4.6,True
1,-0.49,2,-3.3,4.6,False
2,-0.45,3,-3.5,4.0,False
3,-0.04,1,-3.5,4.3,True
4,0.56,4,-3.2,4.4,True
5,0.11,3,-3.3,4.4,True
6,0.43,1,-3.2,4.5,True
7,0.08,3,-3.3,4.5,True
8,-0.31,6,-3.05,4.5,False
