,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.17,3,-3.2,4.6,True
1,-0.36,2,-3.3,4.6,False
2,-0.22,3,-3.5,4.0,False
3,-0.67,1,-3.5,4.3,False
4,0.45,4,-3.2,4.4,True
5,0.39,3,-3.3,4.4,True
6,0.45,1,-3.2,4.5,True
7,-0.07,3,-3.3,4.5,False
8,-0.22,6,-3.05,4.5,False
