,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
50,EPI,6587,ofMr1,CogMwf,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.674383,4.8371286,6587:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
51,EPI,6588,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.5467,2.5091062,6588:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
52,EPI,6588,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.76760226,-0.8876543,6588:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
53,EPI,6588,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.8508718,3.1506877,6588:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
54,EPI,6588,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.050987415,0.10792987,6588:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
55,EPI,6589,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.0026007,2.076545,6589:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
56,EPI,6589,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.27881703,0.39818144,6589:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
57,EPI,6589,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.18656677,0.20915931,6589:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
58,EPI,6589,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.97445023,0.88242495,6589:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
59,EPI,6590,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.7047517,2.7348988,6590:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
60,EPI,6590,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.88301057,0.50566196,6590:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
61,EPI,6591,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.7054806,3.9903104,6591:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
62,EPI,6591,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-1.1342583,-1.3191742,6591:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
63,EPI,6592,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,3.3840835,3.2025852,6592:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
64,EPI,6592,ofMr1,CogMwf,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.9809308,2.143042,6592:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
65,EPI,6593,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.7351097,0.5440161,6593:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
66,EPI,6593,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.19560166,-0.17860298,6593:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
67,EPI,6639,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.5719066,4.6736093,6639:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
68,EPI,6639,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-1.3290571,-0.91035813,6639:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
69,EPI,6642,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,8.002129,8.278828,6642:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
70,EPI,6642,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.8757057,-1.2738395,6642:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
71,EPI,6643,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.5672255,3.6391435,6643:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
72,EPI,6643,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.3233752,1.5713658,6643:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
73,EPI,6654,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.9907584,2.0540438,6654:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
74,EPI,6655,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.033781033,0.15017834,6655:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
75,EPI,6655,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.0525326,0.17828138,6655:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
