,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.66,6,-3.2,4.6,False
1,0.72,4,-3.3,4.6,False
2,1.15,14,-3.5,4.0,False
3,-0.3,2,-3.5,4.3,False
4,1.15,8,-3.2,4.4,False
5,2.02,6,-3.3,4.4,True
6,2.31,5,-3.2,4.5,True
7,1.69,7,-3.3,4.5,True
8,1.86,12,-3.05,4.5,True
