,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,1.4,3,-3.2,4.6,False
1,1.97,2,-3.3,4.6,False
2,1.67,11,-3.5,4.0,False
3,-0.01,1,-3.5,4.3,False
4,2.28,4,-3.2,4.4,False
5,3.59,3,-3.3,4.4,True
6,2.82,4,-3.2,4.5,True
7,2.91,4,-3.3,4.5,True
8,3.94,6,-3.05,4.5,True
