,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.76,6,-3.2,4.6,False
1,0.76,4,-3.3,4.6,False
2,1.3,14,-3.5,4.0,True
3,-0.21,2,-3.5,4.3,False
4,1.38,8,-3.2,4.4,True
5,1.85,6,-3.3,4.4,True
6,2.36,5,-3.2,4.5,True
7,1.6,7,-3.3,4.5,True
8,1.72,12,-3.05,4.5,True
