,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.16,3,-3.2,4.6,True
1,-0.54,2,-3.3,4.6,False
2,-0.36,3,-3.5,4.0,False
3,-0.52,1,-3.5,4.3,False
4,0.39,4,-3.2,4.4,True
5,0.41,3,-3.3,4.4,True
6,0.33,1,-3.2,4.5,True
7,-0.1,3,-3.3,4.5,False
8,-0.42,6,-3.05,4.5,False
