,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,1.35,3,-3.2,4.6,False
1,1.78,2,-3.3,4.6,False
2,1.57,11,-3.5,4.0,False
3,-0.07,1,-3.5,4.3,False
4,2.17,4,-3.2,4.4,False
5,3.81,3,-3.3,4.4,True
6,2.83,4,-3.2,4.5,True
7,2.95,4,-3.3,4.5,True
8,4.09,6,-3.05,4.5,True
