,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.5557566,1.3200464,3839:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-1.1065773,-0.9808228,3839:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
2,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.56904155,0.83300734,5682:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7827593,1.7449791,5682:ofMr2:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
4,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.9351203,3.222231,5683:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.28058642,0.77767855,5683:ofMr1:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
6,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.3273306,2.0221062,5685:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
7,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.86439335,-0.81614095,5685:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
8,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7287611,1.3871379,5685:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
9,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.2746508,2.421126,6257:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
10,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.0212038,2.3146248,6259:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
11,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.6586288,1.7083778,6259:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
12,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.5486738,0.0768069,6259:ofMr1:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
13,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.697892,1.6800653,6260:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
14,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.1109416,1.6020737,6260:ofMr2:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
15,EPI,6260,ofMr2,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.10030038,0.28227568,6260:ofMr2:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
16,EPI,6467,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.0063368496,0.12440354,6467:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
17,EPI,6467,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.41499445,-0.87840295,6467:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
18,EPI,6468,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.44699,0.55363744,6468:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
19,EPI,6468,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.35260153,0.02650493,6468:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
20,EPI,6471,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.66917133,0.84462523,6471:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
21,EPI,6471,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofMr1/sub-6471_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.2580241,-0.41931123,6471:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
22,EPI,6560,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofM/sub-6560_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.6808854,0.7745628,6560:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
23,EPI,6560,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofMr1/sub-6560_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.1130773,1.4469651,6560:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
24,EPI,6562,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6562/ses-ofM/sub-6562_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.0223279,0.60952854,6562:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
25,EPI,6562,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6562/ses-ofMr1/sub-6562_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.55425155,0.59762263,6562:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
26,EPI,6573,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.716488,3.8287966,6573:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
27,EPI,6573,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.37296596,0.6804447,6573:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
28,EPI,6573,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.4246272,1.5783894,6573:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
29,EPI,6573,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.10919446,0.31913027,6573:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
30,EPI,6574,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.3174427,2.7683644,6574:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
31,EPI,6574,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.36326566,0.5033251,6574:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
