,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
27,EPI,6573,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.56970996,1.1531948,6573:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
28,EPI,6573,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.5483884,1.7117352,6573:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
29,EPI,6573,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.08573797,-0.27282864,6573:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
30,EPI,6574,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.7955217,2.775182,6574:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
31,EPI,6574,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.361008,0.2889141,6574:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
32,EPI,6574,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.51331604,-0.5331254,6574:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
33,EPI,6574,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.8702752,-1.0305576,6574:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
34,EPI,6575,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofM/sub-6575_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.095391,4.441469,6575:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
35,EPI,6575,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.1489452,0.9263863,6575:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
36,EPI,6575,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.5189988,0.037092913,6575:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
37,EPI,6576,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.2447194,0.73836106,6576:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
38,EPI,6576,ofM,JPogP,1,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-JPogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.005255,0.9857544,6576:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
