,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.87,6,-3.2,4.6,False
1,0.5,4,-3.3,4.6,False
2,1.16,14,-3.5,4.0,True
3,0.02,2,-3.5,4.3,False
4,1.34,8,-3.2,4.4,True
5,1.8,6,-3.3,4.4,True
6,2.2,5,-3.2,4.5,True
7,1.7,7,-3.3,4.5,True
8,1.83,12,-3.05,4.5,True
