,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.4868184,1.2270421,3839:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-1.043242,-1.0806285,3839:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
2,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.6224398,0.66802704,5682:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7348967,1.5295315,5682:ofMr2:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
4,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.68884,2.9059515,5683:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.22415882,-0.307282,5683:ofMr1:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
6,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.0958345,1.6129606,5685:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
7,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.9061734,-0.8559532,5685:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
8,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.7256453,2.621336,5685:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
9,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7155156,1.8630782,6257:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
