,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,1.38,3,-3.2,4.6,False
1,2.0,2,-3.3,4.6,False
2,1.62,11,-3.5,4.0,False
3,-0.21,1,-3.5,4.3,False
4,2.19,4,-3.2,4.4,False
5,3.7,3,-3.3,4.4,True
6,2.74,4,-3.2,4.5,True
7,2.86,4,-3.3,4.5,True
8,4.28,6,-3.05,4.5,True
