,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.19,3,-3.2,4.6,True
1,-0.43,2,-3.3,4.6,False
2,-0.52,3,-3.5,4.0,False
3,-0.63,1,-3.5,4.3,False
4,0.51,4,-3.2,4.4,True
5,0.16,3,-3.3,4.4,True
6,0.25,1,-3.2,4.5,True
7,0.09,3,-3.3,4.5,True
8,-0.29,6,-3.05,4.5,False
