,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
0,EPI,3839,ofM,CogBr,1,CBV,/home/ito/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.3387458,0.947224,3839:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
1,EPI,3839,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.93071884,-0.79034233,3839:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
2,EPI,5682,ofMr1,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.12445145,0.38263342,5682:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.1561832,1.9824553,5682:ofMr2:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
4,EPI,5683,ofM,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.7121406,3.1030984,5683:ofM:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.11826131,-0.22294171,5683:ofMr1:CBV,Block,20.0,20.0,30.0,30.0,0.005,0.005
6,EPI,5685,ofM,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.365037,2.148796,5685:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
7,EPI,5685,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.90202934,-0.4766909,5685:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
8,EPI,5685,ofMr1,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7424519,1.765472,5685:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
9,EPI,6257,ofM,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.5147771,1.6484652,6257:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
10,EPI,6259,ofM,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.5644295,1.8317246,6259:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
